episode,reward
1,-21.4
2,27.4
3,-20.6
4,24.2
5,24.8
6,22.0
7,21.9
8,26.4
9,25.9
10,25.5
11,24.0
12,-20.6
13,26.3
14,26.3
15,26.6
16,-20.8
17,26.0
18,27.1
19,-13.9
20,26.7
