episode,reward
1,-20.9
2,27.3
3,23.0
4,25.3
5,24.5
6,21.7
7,22.4
8,26.1
9,26.2
10,26.0
11,24.1
12,26.4
13,26.3
14,26.5
15,26.6
16,-20.6
17,27.3
18,26.9
19,21.9
20,26.0
